,Blue,Green,Red,NIR,SWIR1,SWIR2
0,22,18,13,71,30,10
1,26,22,16,55,21,10
2,36,34,33,29,3,2
3,25,22,15,71,33,15
4,36,30,26,17,10,9
5,65,60,55,46,28,25
6,30,25,18,7,2,2
7,28,22,18,55,18,8
8,32,30,28,16,3,2
9,24,20,14,79,30,10
10,40,38,37,28,11,9
11,23,18,12,64,31,11
12,25,21,16,62,32,15
13,29,23,16,8,3,1
14,23,19,14,54,30,11
15,28,23,19,46,30,16
16,43,38,35,35,14,11
17,68,64,59,51,33,28
18,35,30,25,70,32,16
19,30,26,22,10,2,1
20,53,46,39,36,24,21
21,23,19,12,82,22,6
22,23,19,12,60,27,9
23,25,21,13,69,30,11
24,57,51,45,38,25,21
25,24,18,13,58,26,9
26,61,57,54,64,32,24
27,21,17,11,59,20,8
28,30,24,18,12,7,6
29,26,22,17,46,30,15
30,42,40,37,26,14,10
31,60,55,51,87,44,29
32,25,21,14,76,28,10
33,73,69,67,60,36,29
34,29,26,21,77,36,14
35,24,14,8,6,3,1
36,24,18,12,63,29,10
37,27,18,11,5,2,1
38,24,23,16,64,41,16
39,38,33,29,26,14,9
40,25,22,18,56,35,15
41,25,18,12,50,26,10
42,25,18,13,37,19,11
43,28,23,17,8,4,3
44,51,46,39,32,22,17
45,22,16,11,58,22,7
46,23,17,11,48,21,7
47,33,26,20,17,11,8
48,23,18,12,59,24,9
49,57,53,48,38,23,17
50,23,14,8,6,3,2
51,63,59,57,69,35,25
52,38,31,25,19,12,11
53,51,47,41,30,20,15
54,23,18,12,60,28,11
55,75,70,69,83,42,31
56,46,42,37,58,31,19
57,23,21,16,59,21,8
58,23,14,9,5,3,2
59,32,29,25,17,3,2
60,97,100,99,111,57,45
61,30,26,19,8,3,2
62,25,17,10,6,3,2
63,68,62,58,50,31,25
64,23,18,12,68,22,6
65,62,59,55,92,41,26
66,27,19,11,6,3,2
67,23,17,13,36,18,8
68,36,34,30,22,9,7
69,44,39,34,71,30,17
70,43,35,29,22,15,11
71,24,18,13,60,28,8
72,23,19,14,60,28,11
73,47,42,39,37,20,16
74,25,22,15,42,33,12
75,25,20,16,40,26,14
76,23,16,12,47,23,10
77,67,63,61,55,33,26
78,40,38,36,27,12,10
79,24,20,12,84,33,11
80,68,66,63,55,32,25
81,25,20,15,67,31,11
82,53,46,39,35,25,19
83,74,70,67,89,40,28
84,24,18,14,67,22,7
85,34,30,24,78,30,13
86,41,39,37,29,11,9
87,41,34,29,19,10,9
88,35,33,31,23,3,2
89,38,32,25,18,11,7
90,27,21,17,56,28,10
91,26,19,12,6,2,2
92,24,19,12,78,33,11
93,23,20,13,60,30,12
94,25,16,9,5,2,1
95,26,23,21,50,30,16
96,44,40,35,77,40,22
97,31,29,24,12,3,2
98,27,23,18,63,36,17
99,30,22,14,8,4,2
100,24,21,14,83,39,15
101,23,19,13,60,27,11
102,23,20,14,62,28,11
103,57,49,41,36,24,19
104,31,26,20,8,3,2
105,25,20,15,67,29,11
106,32,28,28,21,2,3
107,29,23,15,7,3,2
108,24,20,14,56,29,13
109,27,18,10,6,4,2
110,24,21,13,86,29,9
111,39,30,24,50,16,7
112,35,31,26,66,23,12
113,30,23,14,6,2,2
114,71,65,61,91,45,29
115,23,18,12,65,28,10
116,26,21,16,51,23,11
117,35,33,29,63,32,17
118,25,22,15,75,26,8
119,31,27,22,10,2,1
120,26,21,16,62,28,12
121,29,22,14,6,3,2
122,25,21,15,54,28,12
123,54,48,45,42,25,20
124,23,14,9,6,3,1
125,24,19,12,69,30,10
126,22,16,12,9,3,1
127,29,24,17,10,6,6
128,29,24,20,11,4,3
129,46,40,33,28,20,15
130,33,30,29,25,5,4
131,47,43,37,32,20,15
132,92,86,84,77,47,39
133,27,20,10,6,2,2
134,23,19,14,41,19,8
135,66,58,55,51,32,26
136,25,19,14,51,25,11
137,24,18,13,57,31,11
138,25,22,16,76,30,11
139,25,21,14,84,27,10
140,24,18,14,22,21,13
141,26,24,17,65,30,13
142,24,18,13,62,27,9
143,30,25,19,12,6,5
144,24,17,11,7,3,2
145,25,20,15,55,33,13
146,24,20,14,71,31,10
147,24,19,13,63,27,10
148,27,23,20,59,32,18
149,28,25,19,7,2,1
150,24,20,15,63,35,16
151,24,19,14,63,29,13
152,59,56,52,74,38,25
153,25,20,15,40,28,15
154,23,19,14,59,28,10
155,24,19,16,39,23,10
156,24,16,9,5,3,2
157,26,23,18,61,35,15
158,23,18,12,71,30,10
159,33,29,26,22,4,3
160,23,19,12,63,31,11
161,54,51,48,72,38,26
162,26,18,10,6,3,2
163,30,26,18,6,2,2
164,44,42,39,28,14,11
165,26,18,11,6,3,3
166,27,19,12,6,2,1
167,27,22,19,46,31,14
168,23,18,12,79,38,14
169,26,23,18,60,26,11
170,28,22,13,5,3,3
171,21,18,11,65,22,8
172,39,35,28,62,25,15
173,25,17,11,7,2,2
174,24,20,14,87,40,15
175,24,14,10,6,3,3
176,27,18,10,5,2,0
177,23,21,17,62,42,17
178,27,19,12,6,3,1
179,36,33,31,22,8,6
180,35,31,29,23,9,6
181,24,20,14,58,32,12
182,25,20,14,61,23,8
183,28,23,20,13,4,3
184,30,25,21,9,2,1
185,32,26,22,41,27,17
186,39,36,34,24,10,8
187,23,19,12,72,31,11
188,36,31,29,25,12,9
189,64,59,56,79,43,30
190,28,23,15,5,2,1
191,24,19,14,56,29,10
192,25,20,16,46,23,12
193,25,20,17,16,6,3
194,47,42,39,37,20,15
195,66,61,56,83,42,28
196,27,18,10,5,3,2
197,23,20,13,76,24,8
198,25,21,15,80,33,13
199,26,22,16,63,28,12
200,36,32,28,73,34,18
201,69,64,61,74,38,28
202,26,19,12,6,2,2
203,47,43,39,29,17,14
204,34,30,23,15,8,6
205,24,14,9,5,3,1
206,24,21,14,62,27,11
207,67,62,59,77,43,31
208,41,34,24,18,11,8
209,25,17,9,7,3,2
210,23,19,12,70,26,9
211,69,63,59,90,46,32
212,23,19,14,61,27,10
213,65,62,60,48,28,23
214,41,36,33,30,16,12
215,31,28,25,28,14,9
216,24,19,14,50,22,9
217,33,28,24,17,8,6
218,24,15,9,6,3,2
219,30,26,20,7,3,1
220,75,71,68,63,38,31
221,24,19,14,59,30,11
222,23,14,8,6,2,2
223,23,17,12,53,19,8
224,31,26,20,7,2,1
225,55,51,46,74,35,23
226,32,27,20,10,4,4
227,24,19,13,58,29,11
228,24,19,16,56,31,13
229,23,16,10,29,9,4
230,49,46,42,32,18,14
231,70,66,63,87,46,32
232,27,21,17,50,26,11
233,24,21,14,89,28,10
234,30,26,21,64,28,13
235,63,58,54,87,42,27
236,23,19,13,60,27,11
237,62,57,53,82,41,28
238,23,17,12,63,28,9
239,23,18,13,56,27,10
240,23,17,12,64,28,10
241,97,96,94,110,52,39
242,24,18,13,58,29,11
243,24,19,13,52,23,8
244,33,29,28,22,3,2
245,22,15,11,25,13,6
246,26,22,17,56,29,13
247,23,18,13,62,32,13
248,29,25,20,67,33,15
249,30,24,17,7,2,2
250,25,19,14,55,22,9
251,26,23,18,53,28,13
252,48,43,40,30,18,14
253,25,20,14,61,21,8
254,62,58,53,84,42,28
255,32,28,24,10,3,1
256,39,34,31,53,21,14
257,33,27,21,14,8,5
258,37,34,31,57,23,13
259,42,40,37,27,12,8
260,27,19,11,7,3,2
261,25,19,14,66,30,9
262,22,17,11,43,19,6
263,72,66,63,93,47,34
264,33,30,28,21,6,3
265,23,18,13,43,23,9
266,23,17,11,56,12,4
267,24,19,14,56,28,11
268,31,26,22,9,2,1
269,25,21,16,65,33,13
270,26,24,17,67,25,10
271,24,22,14,83,28,10
272,23,18,14,55,28,10
273,23,19,14,35,23,11
274,41,39,37,29,11,9
275,97,104,103,120,63,50
276,52,49,42,91,37,21
277,63,58,56,49,28,23
278,24,19,14,66,30,9
279,25,21,16,43,29,14
280,37,32,30,21,12,8
281,56,51,48,39,23,18
282,24,20,15,57,28,11
283,55,50,45,36,23,19
284,23,19,12,70,27,10
285,24,20,14,67,30,11
286,48,44,40,51,26,18
287,30,26,20,9,2,2
288,43,36,28,20,13,10
289,28,20,12,6,2,1
290,70,66,61,55,34,26
291,27,24,18,62,36,18
292,23,19,13,80,28,10
293,57,53,50,74,36,25
294,43,39,34,70,30,18
295,29,23,18,13,6,4
296,88,84,82,92,47,35
297,30,27,25,18,4,3
298,51,45,39,35,23,18
299,33,29,26,14,5,3
300,30,27,24,11,2,1
301,33,28,26,15,3,2
302,23,19,13,63,31,12
303,32,29,24,13,3,2
304,26,22,16,60,27,12
305,62,58,56,57,31,22
306,31,26,20,13,6,5
307,24,14,9,7,4,1
308,28,21,13,6,3,2
309,24,21,15,76,26,12
310,24,19,15,45,25,11
311,27,27,22,75,37,15
312,41,36,29,21,13,9
313,29,24,16,6,3,3
314,41,37,32,30,16,11
315,22,15,11,23,8,3
316,28,19,11,6,3,2
317,61,54,50,41,26,21
318,30,27,23,20,7,5
319,23,18,12,63,30,9
320,26,23,18,70,42,17
321,45,42,37,69,41,25
322,25,21,16,60,24,11
323,22,18,11,63,28,10
324,78,73,70,100,51,35
325,24,19,14,55,20,8
326,23,17,12,50,21,8
327,27,18,10,6,2,1
328,21,14,9,32,11,2
329,24,15,8,5,2,2
330,24,20,14,42,30,16
331,30,23,18,47,27,14
332,31,26,24,14,4,4
333,59,54,50,43,27,21
334,31,27,21,8,3,2
335,62,55,53,54,30,23
336,30,26,22,9,2,1
337,49,45,41,38,21,16
338,23,18,12,65,25,9
339,51,46,38,30,20,16
340,30,26,24,14,2,1
341,51,43,36,31,21,17
342,24,20,14,64,33,12
343,29,23,18,9,4,4
344,27,22,18,47,29,13
345,77,74,71,65,36,32
346,25,20,16,63,33,15
347,26,17,9,5,2,1
348,23,17,12,58,26,9
349,34,30,27,22,11,8
350,24,19,14,48,25,11
351,28,20,12,6,2,1
352,38,35,30,69,37,18
353,22,19,13,68,24,9
354,81,75,74,65,38,30
355,23,20,14,63,24,10
356,29,24,20,64,37,18
357,24,19,13,73,31,10
358,24,19,14,53,26,10
359,31,27,22,56,25,13
360,26,21,15,75,33,13
361,24,19,14,54,21,8
362,26,20,13,58,31,12
363,35,33,31,27,7,5
364,23,18,13,51,18,8
365,64,61,59,55,26,19
366,57,53,48,39,25,18
367,27,23,16,7,3,1
368,26,24,18,57,28,12
369,50,46,41,36,22,17
370,24,19,13,83,27,9
371,29,22,13,6,3,2
372,31,27,22,45,18,9
373,25,19,16,32,33,18
374,23,18,12,68,28,9
375,26,17,10,7,4,3
376,24,19,14,71,18,6
377,23,18,12,69,27,8
378,24,15,9,5,2,1
379,25,19,11,5,2,1
380,45,39,32,27,18,15
381,23,14,9,5,3,2
382,23,20,14,58,27,11
383,35,28,22,17,11,8
384,23,16,9,7,2,1
385,52,47,42,77,36,23
386,46,40,34,29,19,15
387,46,42,38,36,20,13
388,23,19,14,80,29,12
389,23,18,12,69,30,11
390,62,55,49,42,28,21
391,46,43,39,27,15,12
392,26,21,17,45,26,13
393,23,18,12,48,21,8
394,32,30,29,20,5,3
395,24,18,12,56,24,8
396,43,38,35,25,14,11
397,27,20,12,7,4,3
398,23,17,12,56,26,9
399,28,22,15,6,1,2
400,25,17,9,5,2,1
401,32,29,27,18,3,2
402,26,19,11,5,2,1
403,38,34,32,24,8,7
404,23,16,11,39,18,6
405,25,21,14,53,33,14
406,23,18,12,55,17,7
407,24,19,14,64,31,12
408,28,20,12,6,4,3
409,25,19,14,57,31,13
410,52,49,44,67,33,21
411,25,20,14,67,25,9
412,58,53,50,74,40,26
413,26,21,16,88,40,15
414,21,15,10,43,14,4
415,26,20,15,36,18,11
416,30,26,20,9,3,3
417,71,66,59,52,35,27
418,31,28,26,19,5,2
419,22,17,10,67,26,8
420,23,18,13,57,28,10
421,22,18,11,73,30,11
422,25,17,9,6,3,2
423,23,17,13,31,16,7
424,26,19,14,67,31,11
425,28,20,10,6,2,2
426,23,20,14,55,31,13
427,49,45,39,29,19,17
428,26,23,16,78,27,11
429,33,30,28,22,6,4
430,26,21,17,50,30,14
431,77,74,71,99,54,40
432,22,16,11,26,10,4
433,23,17,13,35,19,8
434,97,106,103,97,59,49
435,25,20,14,53,33,12
436,31,22,13,8,4,4
437,22,18,12,71,22,7
438,68,62,60,57,32,25
439,24,18,11,41,17,7
440,24,18,15,10,4,3
441,34,32,29,25,9,7
442,36,31,29,28,14,11
443,23,18,13,59,29,10
444,26,22,19,55,33,18
445,28,20,12,6,2,2
446,57,51,45,35,22,17
447,37,32,26,16,9,6
448,25,20,14,59,30,12
449,23,18,11,67,26,9
450,33,30,28,22,3,1
451,67,59,54,51,35,28
452,24,19,13,64,27,10
453,26,18,12,6,3,3
454,42,39,37,26,13,9
455,29,21,11,5,2,1
456,22,17,11,70,23,7
457,23,17,11,57,27,9
458,25,20,17,39,32,16
459,32,28,24,13,4,4
460,23,20,14,48,26,11
461,39,38,35,60,58,38
462,24,19,14,62,30,11
463,24,20,14,60,28,10
464,28,21,12,6,2,2
465,30,27,24,13,2,1
466,48,43,37,31,20,15
467,35,30,23,13,7,6
468,31,26,20,8,2,1
469,30,22,13,7,2,1
470,26,22,17,59,37,16
471,24,19,16,40,26,14
472,33,28,24,13,6,6
473,36,31,24,12,7,5
474,28,20,12,7,4,1
475,24,22,15,60,33,13
476,24,20,14,55,25,10
477,25,20,15,68,31,13
478,24,19,14,41,21,9
479,32,27,25,20,3,1
480,25,19,13,66,31,11
481,26,22,18,51,35,15
482,23,19,12,58,27,9
483,28,26,19,66,32,15
484,64,59,54,46,30,23
485,29,24,19,62,28,11
486,25,20,16,65,36,15
487,28,21,12,5,2,2
488,23,18,12,63,29,10
489,39,34,28,20,10,9
490,33,28,22,12,5,4
491,45,42,37,43,21,15
492,36,34,31,22,6,4
493,23,14,9,6,3,2
494,23,20,13,45,17,7
495,55,50,45,84,38,22
496,22,17,12,62,31,11
497,25,15,9,7,4,2
498,32,29,25,15,3,3
499,55,50,46,79,35,21
500,23,14,9,5,2,1
501,54,50,46,37,23,18
502,24,20,13,74,30,10
503,24,18,12,73,24,8
504,36,33,31,27,8,5
505,25,20,14,75,29,10
506,29,25,21,16,5,3
507,25,19,14,63,24,9
508,33,30,29,23,4,2
509,36,33,31,22,8,6
510,26,18,9,5,3,1
511,24,18,14,34,16,7
512,26,23,16,85,32,10
513,27,21,15,50,22,8
514,26,25,19,55,33,14
515,42,37,31,23,16,13
516,23,17,12,24,13,5
517,25,19,14,42,20,9
518,23,19,12,69,29,10
519,31,27,25,17,7,6
520,33,31,29,18,3,2
521,26,22,18,64,43,17
522,25,24,17,71,28,10
523,39,35,32,23,11,8
524,49,45,40,29,15,14
525,28,20,11,6,2,1
526,24,19,15,69,30,13
527,24,20,15,55,28,11
528,23,18,12,70,25,8
529,29,26,24,18,4,3
530,28,22,18,64,29,14
531,30,26,23,14,3,3
532,97,95,93,107,51,39
533,28,20,11,6,2,2
534,53,46,41,37,24,19
535,25,20,14,50,23,11
536,25,21,15,62,36,15
537,57,54,49,44,27,21
538,46,40,35,27,18,15
539,27,18,11,6,2,1
540,25,16,9,6,2,1
541,25,21,16,59,26,12
542,24,18,13,40,20,8
543,36,29,22,16,11,8
544,40,36,35,28,12,9
545,28,20,12,5,2,2
546,24,19,14,55,30,10
547,22,17,11,47,21,8
548,27,20,12,6,2,1
549,25,23,16,52,24,11
550,55,50,47,39,25,20
551,24,20,14,57,29,12
552,26,22,16,79,33,12
553,26,23,17,60,33,16
554,48,42,39,37,20,15
555,25,21,15,72,32,13
556,59,55,50,77,37,25
557,24,20,15,67,32,11
558,29,21,12,6,2,1
559,30,22,13,7,3,3
560,56,53,50,45,27,20
561,36,27,18,12,7,7
562,25,20,14,61,31,11
563,36,30,22,15,9,7
564,24,22,15,69,33,14
565,26,22,14,51,22,10
566,39,35,32,26,13,9
567,28,22,14,8,4,2
568,39,32,24,19,14,10
569,61,61,61,68,38,32
570,36,33,31,21,4,2
571,23,14,9,6,3,0
572,80,75,73,67,41,33
573,23,18,12,75,18,5
574,32,28,25,16,3,3
575,26,22,15,8,2,1
576,29,22,16,6,1,1
577,26,23,17,65,29,10
578,24,20,14,75,33,11
579,24,14,9,5,3,2
580,63,58,55,74,41,28
581,31,26,19,8,2,2
582,26,24,19,75,41,17
583,32,31,29,20,2,2
584,36,35,34,21,7,4
585,23,18,12,66,27,9
586,23,18,14,49,20,10
587,97,95,94,107,55,43
588,66,61,58,51,31,25
589,24,18,12,64,31,11
590,25,20,16,55,34,15
591,34,30,26,52,37,23
592,46,39,29,23,16,11
593,23,19,13,61,31,11
594,24,19,14,53,28,11
595,97,106,106,123,65,52
596,27,19,11,6,3,1
597,23,17,13,40,25,11
598,22,18,14,55,23,8
599,54,48,47,43,22,18
600,29,21,11,6,3,3
601,21,12,8,18,6,2
602,41,36,33,33,16,11
603,24,20,13,73,24,7
604,23,18,15,45,24,11
605,27,22,16,73,27,10
606,26,22,18,8,3,3
607,24,20,14,60,30,11
608,27,25,20,63,39,15
609,28,24,17,79,25,10
610,24,20,14,50,19,7
611,27,18,10,7,3,2
612,25,20,14,50,18,9
613,31,27,24,13,2,2
614,28,24,20,65,36,18
615,30,26,25,17,5,2
616,28,21,12,7,4,2
617,30,26,21,9,3,1
618,24,17,13,38,20,8
619,24,17,13,53,26,10
620,23,18,11,67,22,8
621,28,21,13,7,2,2
622,61,56,52,46,28,21
623,24,20,15,54,32,13
624,24,18,14,57,29,11
625,28,23,20,13,3,1
626,24,17,12,41,18,6
627,25,15,9,6,3,2
628,50,46,42,32,19,15
629,25,21,15,60,31,14
630,27,20,11,6,3,1
631,31,27,21,79,33,15
632,23,22,14,78,31,10
633,34,29,24,62,33,16
634,27,20,11,6,2,2
635,31,26,21,61,26,13
636,25,21,14,74,31,11
637,44,37,30,22,14,12
638,60,55,52,79,41,30
639,22,17,12,50,20,8
640,25,18,11,7,3,3
641,24,20,14,55,30,11
642,23,16,11,59,27,9
643,22,18,11,70,23,8
644,25,16,10,7,4,3
645,72,66,62,55,33,27
646,78,74,72,83,40,32
647,29,24,16,7,2,2
648,64,58,52,46,32,25
649,27,21,16,67,29,10
650,22,18,13,65,30,11
651,30,27,26,21,5,2
652,28,21,13,6,2,1
653,33,28,22,15,9,7
654,26,25,18,72,43,19
655,34,28,24,51,19,11
656,36,30,26,17,8,8
657,26,23,17,49,29,14
658,30,24,16,6,3,1
659,26,18,10,6,2,1
660,42,35,31,23,14,11
661,23,18,14,53,26,11
662,24,20,15,36,28,15
663,26,21,17,60,32,17
664,25,22,17,74,35,16
665,29,27,23,66,37,16
666,24,20,13,66,32,11
667,44,41,39,26,13,10
668,25,18,10,6,3,3
669,30,26,21,8,2,1
670,22,17,12,33,15,6
671,25,21,14,63,32,9
672,22,14,8,5,2,1
673,27,20,12,5,2,1
674,25,22,16,70,30,14
675,27,19,10,7,3,3
676,30,22,14,7,2,2
677,58,53,50,43,25,21
678,23,18,12,51,22,9
679,25,17,8,4,2,1
680,28,20,12,6,1,1
681,31,28,21,79,27,12
682,24,20,14,65,36,14
683,52,48,44,42,26,18
684,76,73,69,91,43,32
685,27,22,18,61,27,11
686,25,20,15,60,28,11
687,23,18,13,28,14,7
688,22,18,12,74,33,11
689,27,22,17,52,26,12
690,24,22,15,69,25,11
691,25,15,10,7,4,3
692,25,22,17,54,33,14
693,46,41,38,27,15,11
694,26,18,11,6,2,2
695,34,29,22,12,5,4
696,36,32,30,26,10,8
697,25,25,18,87,41,17
698,37,35,35,29,4,2
699,45,37,29,25,16,14
700,24,19,13,60,32,13
701,24,16,12,45,24,10
702,51,43,37,32,22,18
703,25,20,14,61,32,13
704,25,17,10,7,2,2
705,41,36,34,34,14,10
706,29,25,19,9,4,3
707,98,127,127,135,66,50
708,23,16,10,23,9,3
709,44,41,37,26,14,11
710,23,18,12,66,31,10
711,25,21,16,51,33,15
712,24,19,14,62,25,9
713,26,19,12,6,3,2
714,33,30,27,23,9,5
715,27,20,11,6,2,2
716,30,25,17,7,1,1
717,21,14,11,13,5,2
718,28,24,18,70,25,10
719,23,18,12,73,33,12
720,27,22,18,66,37,17
721,24,17,12,56,22,8
722,24,21,16,56,33,16
723,26,20,14,61,30,10
724,23,17,12,62,27,9
725,51,44,37,31,21,19
726,27,19,11,6,2,1
727,56,53,49,72,37,25
728,24,20,14,80,28,10
729,31,26,22,65,22,10
730,22,16,11,30,13,5
731,30,26,22,9,3,2
732,25,19,15,75,34,12
733,30,26,22,11,3,2
734,23,17,14,26,17,7
735,25,20,13,69,32,10
736,22,17,11,68,20,6
737,23,18,12,67,28,10
738,58,55,54,55,33,25
739,35,30,26,55,27,16
740,24,18,12,71,28,10
741,26,19,15,61,24,10
742,23,19,13,59,30,11
743,28,19,11,7,3,2
744,25,21,16,69,29,11
745,30,25,16,6,3,2
746,35,33,32,18,3,2
747,25,21,14,87,42,15
748,24,18,13,71,27,11
749,71,68,64,59,36,29
